,age,gender,time_in_social_media,people_living_together,social_class,is_lgbt,has_pets,number_of_pets,has_dog,has_cat,has_others,forgets,report_abandoned,feeling,would_use
236,16,0,2.0,5,4,0,0,0.0,0,0,0,1,3,3.0,0.5
237,15,1,3.0,2,2,0,1,1.0,1,0,0,1,4,4.0,0.5
238,17,1,5.0,3,2,0,1,4.0,1,1,1,0,4,5.0,1
239,15,1,3.0,3,3,0,0,0.0,0,0,0,1,2,3.0,0
240,16,1,8.0,4,1,1,0,0.0,0,0,0,1,4,5.0,0.5
241,16,0,2.0,5,4,0,1,1.0,1,0,0,0,4,5.0,1
242,16,1,3.0,4,4,1,0,0.0,0,0,0,1,4,5.0,0.5
243,13,1,5.0,4,5,0,1,1.0,1,0,0,1,4,4.0,0.5
244,17,1,2.0,5,4,0,1,1.0,0,1,0,1,3,5.0,1
246,15,1,3.0,3,3,0,1,5.0,1,1,1,1,4,5.0,0.5
247,22,0,2.0,3,4,0,1,1.0,1,0,0,1,3,5.0,1
248,30,1,5.0,1,1,1,1,1.0,1,0,0,0,4,5.0,1
249,16,1,6.0,4,5,1,0,0.0,0,0,0,1,1,3.0,0
250,15,1,4.0,5,1,0,1,4.0,1,1,1,1,3,5.0,1
253,45,1,2.0,3,4,0,1,1.0,1,0,0,1,4,5.0,1
254,22,0,3.0,4,3,0,1,1.0,1,0,0,1,4,5.0,1
255,18,1,3.0,4,1,0,1,2.0,1,1,1,1,4,5.0,1
256,22,0,3.0,2,2,0,1,6.0,1,1,0,0,4,5.0,1
257,12,1,3.0,3,3,1,0,0.0,1,0,0,1,4,5.0,0.5
258,11,1,1.0,3,1,0,1,1.0,1,0,0,1,4,5.0,1
259,11,2,5.0,4,3,1,1,1.0,1,0,0,1,2,5.0,0.5
260,17,0,0.0,4,0,0,0,0.0,1,0,0,1,4,4.0,1
261,12,2,0.0,4,0,0,1,1.0,0,1,0,1,3,5.0,0
